A		RSMGL_SD	RSMGL_SD	RSMGL_SD	RSMGL_SD	RSMGL_SD
B		S12A	S12B	S12C	S12D	S333
C		FLOW	FLOW	FLOW	FLOW	FLOW
E						
F		SIMULATED	SIMULATED	SIMULATED	SIMULATED	SIMULATED
Units		FT^3/S	FT^3/S	FT^3/S	FT^3/S	FT^3/S
Type		PER-AVER	PER-AVER	PER-AVER	PER-AVER	PER-AVER
103	13Apr1965	0.0	0.0	0.0	0.0	102.3
104	14Apr1965	0.0	0.0	0.0	0.0	102.3
105	15Apr1965	0.0	0.0	0.0	0.0	102.3
106	16Apr1965	0.0	0.0	0.0	0.0	102.3
107	17Apr1965	0.0	0.0	0.0	0.0	125.7
108	18Apr1965	0.0	0.0	0.0	0.0	125.7
109	19Apr1965	0.0	0.0	0.0	0.0	125.7
110	20Apr1965	0.0	0.0	0.0	0.0	125.7
111	21Apr1965	0.0	0.0	0.0	0.0	125.7
112	22Apr1965	0.0	0.0	0.0	0.0	125.7
113	23Apr1965	0.0	0.0	0.0	0.0	125.7
114	24Apr1965	0.0	0.0	0.0	0.0	125.7
115	25Apr1965	0.0	0.0	0.0	0.0	125.7
116	26Apr1965	0.0	0.0	0.0	0.0	125.7
117	27Apr1965	0.0	0.0	0.0	0.0	125.7
118	28Apr1965	0.0	0.0	0.0	0.0	125.7
119	29Apr1965	0.0	0.0	0.0	0.0	125.7
120	30Apr1965	0.0	0.0	0.0	0.0	125.7
121	01May1965	0.0	0.0	0.0	0.0	124.9
122	02May1965	0.0	0.0	0.0	0.0	124.9
123	03May1965	0.0	0.0	0.0	0.0	124.9
124	04May1965	0.0	0.0	0.0	0.0	124.9
125	05May1965	0.0	0.0	0.0	0.0	124.9
126	06May1965	0.0	0.0	0.0	0.0	124.9
127	07May1965	0.0	0.0	0.0	0.0	124.9
128	08May1965	0.0	0.0	0.0	0.0	125.6
129	09May1965	0.0	0.0	0.0	0.0	125.6
130	10May1965	0.0	0.0	0.0	0.0	125.6
131	11May1965	0.0	0.0	0.0	0.0	125.6
132	12May1965	0.0	0.0	0.0	0.0	125.6
133	13May1965	0.0	0.0	0.0	0.0	125.6
134	14May1965	0.0	0.0	0.0	0.0	125.6
135	15May1965	0.0	0.0	0.0	0.0	125.6
136	16May1965	0.0	0.0	0.0	0.0	125.6
137	17May1965	0.0	0.0	0.0	0.0	125.6
